Test ID,Device ID,Marker,Repetition,Detected,Detection Time (s),Correct 3D Object,Correct Information,Stable 10 s,Status,Notes
MAP-083,D1,N,2,,,,,,Not Tested,
MAP-084,D1,N,3,,,,,,Not Tested,
MAP-085,D1,P,1,,,,,,Not Tested,
MAP-086,D1,P,2,,,,,,Not Tested,
MAP-087,D1,P,3,,,,,,Not Tested,
MAP-088,D1,Sb,1,,,,,,Not Tested,
MAP-089,D1,Sb,2,,,,,,Not Tested,
MAP-090,D1,Sb,3,,,,,,Not Tested,
MAP-091,D1,Lv,1,,,,,,Not Tested,
MAP-092,D1,Lv,2,,,,,,Not Tested,
MAP-093,D1,Lv,3,,,,,,Not Tested,
MAP-094,D1,O,1,,,,,,Not Tested,
MAP-095,D1,O,2,,,,,,Not Tested,
MAP-096,D1,O,3,,,,,,Not Tested,
MAP-097,D1,Po,1,,,,,,Not Tested,
MAP-098,D1,Po,2,,,,,,Not Tested,
MAP-099,D1,Po,3,,,,,,Not Tested,
MAP-100,D1,S,1,,,,,,Not Tested,
MAP-101,D1,S,2,,,,,,Not Tested,
MAP-102,D1,S,3,,,,,,Not Tested,
MAP-103,D1,Se,1,,,,,,Not Tested,
MAP-104,D1,Se,2,,,,,,Not Tested,
MAP-105,D1,Se,3,,,,,,Not Tested,
MAP-106,D1,Te,1,,,,,,Not Tested,
MAP-107,D1,Te,2,,,,,,Not Tested,
MAP-108,D1,Te,3,,,,,,Not Tested,
MAP-109,D1,At,1,,,,,,Not Tested,
MAP-110,D1,At,2,,,,,,Not Tested,
MAP-111,D1,At,3,,,,,,Not Tested,
MAP-112,D1,Br,1,,,,,,Not Tested,
MAP-113,D1,Br,2,,,,,,Not Tested,
MAP-114,D1,Br,3,,,,,,Not Tested,
MAP-115,D1,Cl,1,,,,,,Not Tested,
MAP-116,D1,Cl,2,,,,,,Not Tested,
MAP-117,D1,Cl,3,,,,,,Not Tested,
MAP-118,D1,F,1,,,,,,Not Tested,
MAP-119,D1,F,2,,,,,,Not Tested,
MAP-120,D1,F,3,,,,,,Not Tested,
MAP-121,D1,I,1,,,,,,Not Tested,
MAP-122,D1,I,2,,,,,,Not Tested,
MAP-123,D1,I,3,,,,,,Not Tested,
MAP-124,D1,Ts,1,,,,,,Not Tested,
MAP-125,D1,Ts,2,,,,,,Not Tested,
MAP-126,D1,Ts,3,,,,,,Not Tested,
MAP-127,D1,Ar,1,,,,,,Not Tested,
MAP-128,D1,Ar,2,,,,,,Not Tested,
MAP-129,D1,Ar,3,,,,,,Not Tested,
MAP-130,D1,He,1,,,,,,Not Tested,
MAP-131,D1,He,2,,,,,,Not Tested,
MAP-132,D1,He,3,,,,,,Not Tested,
MAP-133,D1,Kr,1,,,,,,Not Tested,
MAP-134,D1,Kr,2,,,,,,Not Tested,
MAP-135,D1,Kr,3,,,,,,Not Tested,
MAP-136,D1,Ne,1,,,,,,Not Tested,
MAP-137,D1,Ne,2,,,,,,Not Tested,
MAP-138,D1,Ne,3,,,,,,Not Tested,
MAP-139,D1,Og,1,,,,,,Not Tested,
MAP-140,D1,Og,2,,,,,,Not Tested,
MAP-141,D1,Og,3,,,,,,Not Tested,
MAP-142,D1,Rn,1,,,,,,Not Tested,
MAP-143,D1,Rn,2,,,,,,Not Tested,
MAP-144,D1,Rn,3,,,,,,Not Tested,
MAP-145,D1,Xe,1,,,,,,Not Tested,
MAP-146,D1,Xe,2,,,,,,Not Tested,
MAP-147,D1,Xe,3,,,,,,Not Tested,
